Crack volume potential of soil,Depth                [mm]1,Depth                [mm]2,Depth                [mm]3,Bulk Density Moist [g/cc]1,Bulk Density Moist [g/cc]2,Bulk Density Moist [g/cc]3,Ave. AW Incl. Rock Frag1,Ave. AW Incl. Rock Frag2,Ave. AW Incl. Rock Frag3,Ksat. (est.)      [mm/hr]1,Ksat. (est.)      [mm/hr]2,Ksat. (est.)      [mm/hr]3,CN2,GW_DELAY,ALPHA_BF,GWQMN,GW_REVAP,REVAPMN,RCHRG_DP,GW_SPYLD,ALPHA_BF_D,HRU_FR,DIS_STREAM,SLSUBBSN,HRU_SLP,OV_N,LAT_TTIME,SLSOIL,CANMX,ESCO,EPCO,DEP_IMP,CF,CFH,CFDEC,SURLAG,R2ADJ,AREAkm2,WYLDmm
0.2,192.38,525.83,2603.47,1.12,1.3,1.45,0.1,0.07,0.06,1.5,1.5,1.5,73.23,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0002338,35.0,109.756,0.022,0.3,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.015363000000000088,0.5357849315068482
0.2,166.72,1333.8,1667.25,1.55,1.45,1.45,0.07,0.09,0.08,64.8,1.52,1.52,80.65,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0010405,35.0,109.756,0.037,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.07648199999999908,0.15581232876712334
0.2,525.83,718.2,949.05,1.27,1.26,1.33,0.11,0.09,0.09,6.56,6.56,6.56,80.65,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,9.2e-06,35.0,109.756,0.021,0.3,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.5128300000000043,0.21312191780821926
0.2,538.65,1872.45,2616.3,1.38,1.34,1.28,0.09,0.09,0.09,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,2.29e-05,35.0,146.341,0.012,0.14,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.9797399999999945,0.1803589041095892
0.2,192.38,2282.85,2603.47,1.23,1.27,1.29,0.1,0.1,0.07,1.5,1.5,1.5,73.23,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,4.13e-05,35.0,146.341,0.018,0.3,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.19137000000000304,0.176395890410959
0.2,192.38,2282.85,2603.47,1.23,1.27,1.29,0.1,0.1,0.07,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0003163,35.0,109.756,0.026,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.0995269999999999,0.17652191780822005
0.2,192.38,2282.85,2603.47,1.23,1.27,1.29,0.1,0.1,0.07,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,1.83e-05,35.0,109.756,0.044,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.19137000000000304,0.17563150684931508
0.2,128.25,1949.4,0.0,1.35,1.35,0.0,0.1,0.1,0.0,1.52,1.52,0.0,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,4.6e-06,35.0,146.341,0.011,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.13777000000000214,0.030295890410958835
0.2,192.38,525.83,2449.57,1.12,1.3,1.45,0.1,0.07,0.06,1.52,1.52,1.52,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,2.29e-05,35.0,109.756,0.03,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.16832999999999818,0.08020547945205492
0.2,192.38,0.0,0.0,1.4,0.0,0.0,0.07,0.0,0.0,64.8,0.0,0.0,73.23,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0006051,35.0,146.341,0.016,0.3,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.39043000000000117,0.14009863013698698
0.2,230.85,884.92,1564.65,1.55,1.45,1.45,0.07,0.09,0.08,64.8,1.5,1.5,80.65,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,3.67e-05,35.0,146.341,0.016,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.28322,0.14007260273972608
0.2,166.72,2013.52,0.0,1.55,1.63,0.0,0.11,0.09,0.0,7.2,1.5,0.0,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0007105,35.0,109.756,0.037,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.07648199999999908,0.20305616438356347
0.2,192.38,2282.85,2603.47,1.23,1.27,1.29,0.1,0.1,0.07,1.5,1.5,1.5,73.23,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,1.83e-05,35.0,109.756,0.021,0.14,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.11489000000000149,0.20290547945205634
0.2,397.57,1167.08,2077.65,1.35,1.44,1.46,0.11,0.1,0.09,6.54,6.54,6.54,80.65,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0008297,35.0,109.756,0.025,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.07648199999999908,0.18683972602739735
0.2,192.38,525.83,2449.57,1.12,1.3,1.45,0.1,0.07,0.06,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,1.83e-05,35.0,109.756,0.033,0.14,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.09184599999999876,0.05459178082191717
0.2,423.22,718.2,1885.27,1.27,1.27,1.27,0.1,0.1,0.1,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,9.2e-06,35.0,109.756,0.03,0.3,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.15313000000000132,0.17654794520547948
0.2,192.38,2282.85,2603.47,1.23,1.27,1.29,0.1,0.1,0.07,1.5,1.5,1.5,73.23,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,0.0021452,35.0,109.756,0.026,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.10720999999999961,0.20433561643835632
0.2,192.38,525.83,2603.47,1.12,1.3,1.45,0.1,0.07,0.06,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,5.96e-05,35.0,146.341,0.018,0.15,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.023044999999999843,0.20477808219178092
0.2,192.38,525.83,2449.57,1.12,1.3,1.45,0.1,0.07,0.06,1.5,1.5,1.5,73.23,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,1.38e-05,35.0,73.171,0.061,0.3,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.007681599999999975,0.04200547945205479
0.2,294.97,1244.02,1949.4,1.45,1.45,1.55,0.1,0.09,0.08,1.5,1.5,1.5,77.87,2.0,0.95,1000.0,0.096,1.0,0.1845,0.003,0.0,4.6e-06,35.0,146.341,0.005,0.14,0.0,0.0,8.12721,0.1,1.0,6000.0,1.0,1.0,0.055,2.0,1.0,0.34451000000000664,0.2147684931506849
